Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.12.140-192.168.12.146-42860-80-6,192.168.12.146,80,192.168.12.140,42860,6,28/07/2024 02:43:19 PM,769,1,1,0.0,634.0,0.0,0.0,0.0,0.0,634.0,634.0,634.0,0.0,824447.33420026,2600.780234070221,769.0,0.0,769.0,769.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,1300.3901170351105,1300.3901170351105,0.0,634.0,422.66666666666663,366.04007066622273,133985.33333333334,0,0,0,1,1,0,0,0,1.0,634.0,0.0,634.0,0,0,0,0,0,0,1,0,1,634,-1,507,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-42860-80-6,192.168.12.140,42860,192.168.12.146,80,6,28/07/2024 02:43:19 PM,597,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3350.0837520938026,597.0,0.0,597.0,597.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1675.0418760469013,1675.0418760469013,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-42856-80-6,192.168.12.146,80,192.168.12.140,42856,6,28/07/2024 02:43:19 PM,559,2,3,10407.0,7240.0,7240.0,3167.0,5203.5,2880.0459197728082,7240.0,0.0,2413.333333333333,4180.015948932891,3.1568872987477638E7,8944.543828264757,139.75,208.3128656612452,449.0,1.0,485.0,485.0,0.0,485.0,485.0,524.0,262.0,369.10973977937783,523.0,1.0,0,1,0,0,64,96,3577.8175313059032,5366.726296958855,0.0,7240.0,4147.833333333333,3579.2613996000164,1.2811112166666668E7,0,0,0,1,1,0,0,0,1.0,4977.4,5203.5,2413.3333333333335,0,0,0,0,0,0,2,10407,3,7240,-1,474,2,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-42890-80-6,192.168.12.146,80,192.168.12.140,42890,6,28/07/2024 02:43:19 PM,480,2,3,10407.0,7240.0,7240.0,3167.0,5203.5,2880.0459197728082,7240.0,0.0,2413.333333333333,4180.015948932891,3.6764583333333336E7,10416.666666666666,120.00000000000001,166.97504803612625,365.0,0.0,396.0,396.0,0.0,396.0,396.0,449.0,224.5,317.49094475275984,449.0,0.0,0,1,0,0,64,96,4166.666666666667,6250.0,0.0,7240.0,4147.833333333333,3579.2613996000164,1.2811112166666668E7,0,0,0,1,1,0,0,0,1.0,4977.4,5203.5,2413.3333333333335,0,0,0,0,0,0,2,10407,3,7240,-1,474,2,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-42878-80-6,192.168.12.146,80,192.168.12.140,42878,6,28/07/2024 02:43:19 PM,291,2,3,10407.0,7240.0,7240.0,3167.0,5203.5,2880.0459197728082,7240.0,0.0,2413.333333333333,4180.015948932891,6.064261168384879E7,17182.130584192437,72.75,111.14367578349506,238.0,0.0,274.0,274.0,0.0,274.0,274.0,255.0,127.5,180.31222920256963,255.0,0.0,0,1,0,0,64,96,6872.852233676976,10309.278350515464,0.0,7240.0,4147.833333333333,3579.2613996000164,1.2811112166666668E7,0,0,0,1,1,0,0,0,1.0,4977.4,5203.5,2413.3333333333335,0,0,0,0,0,0,2,10407,3,7240,-1,436,2,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-42910-80-6,192.168.12.146,80,192.168.12.140,42910,6,28/07/2024 02:43:19 PM,301,4,3,10407.0,7240.0,5792.0,614.0,2601.75,2342.056699427521,7240.0,0.0,2413.333333333333,4180.015948932891,5.862790697674419E7,23255.813953488374,50.16666666666667,64.15112365864425,167.0,0.0,220.0,73.33333333333334,106.46282606305984,196.0,5.0,267.0,133.5,188.79751057680818,267.0,0.0,0,1,0,0,128,96,13289.036544850498,9966.777408637874,0.0,7240.0,3110.875,3183.595336699868,1.0135279267857144E7,0,0,0,1,1,0,0,0,0.0,3555.285714285714,2601.75,2413.3333333333335,0,0,0,0,0,0,4,10407,3,7240,-1,470,4,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-42924-80-6,192.168.12.146,80,192.168.12.140,42924,6,28/07/2024 02:43:19 PM,259,2,3,10407.0,7240.0,7240.0,3167.0,5203.5,2880.0459197728082,7240.0,0.0,2413.333333333333,4180.015948932891,6.813513513513513E7,19305.019305019305,64.75,102.71765508746131,218.0,1.0,246.0,246.0,0.0,246.0,246.0,232.0,116.0,162.63455967290594,231.0,1.0,0,1,0,0,64,96,7722.007722007722,11583.011583011583,0.0,7240.0,4147.833333333333,3579.2613996000164,1.2811112166666668E7,0,0,0,1,1,0,0,0,1.0,4977.4,5203.5,2413.3333333333335,0,0,0,0,0,0,2,10407,3,7240,-1,436,2,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-42926-80-6,192.168.12.146,80,192.168.12.140,42926,6,28/07/2024 02:43:19 PM,120,1,1,0.0,634.0,0.0,0.0,0.0,0.0,634.0,634.0,634.0,0.0,5283333.333333333,16666.666666666668,120.0,0.0,120.0,120.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,8333.333333333334,8333.333333333334,0.0,634.0,422.66666666666663,366.04007066622273,133985.33333333334,0,0,0,1,1,0,0,0,1.0,634.0,0.0,634.0,0,0,0,0,0,0,1,0,1,634,-1,507,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-42924-80-6,192.168.12.140,42924,192.168.12.146,80,6,28/07/2024 02:43:19 PM,62,0,2,0.0,271.0,0,0,0,0,271.0,0.0,135.5,191.6259377015544,4370967.741935484,32258.06451612903,62.0,0.0,62.0,62.0,0,0,0,0,0,62.0,62.0,0.0,62.0,62.0,0,0,0,0,0,64,0.0,32258.06451612903,0.0,271.0,90.33333333333333,156.46192295038858,24480.333333333332,0,0,1,0,1,0,0,0,0.0,135.5,0.0,135.5,0,0,0,0,0,0,0,0,2,271,-1,507,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-42926-80-6,192.168.12.140,42926,192.168.12.146,80,6,28/07/2024 02:43:19 PM,2995,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.779632721202,2995.0,0.0,2995.0,2995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,333.889816360601,333.889816360601,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-42936-80-6,192.168.12.146,80,192.168.12.140,42936,6,28/07/2024 02:43:19 PM,309,2,3,10407.0,7240.0,7240.0,3167.0,5203.5,2880.0459197728082,7240.0,0.0,2413.333333333333,4180.015948932891,5.711003236245955E7,16181.229773462785,77.25,96.68634857103665,217.0,1.0,245.0,245.0,0.0,245.0,245.0,282.0,141.0,197.9898987322333,281.0,1.0,0,1,0,0,64,96,6472.491909385114,9708.737864077671,0.0,7240.0,4147.833333333333,3579.2613996000164,1.2811112166666668E7,0,0,0,1,1,0,0,0,1.0,4977.4,5203.5,2413.3333333333335,0,0,0,0,0,0,2,10407,3,7240,-1,436,2,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-42906-80-6,192.168.12.146,80,192.168.12.140,42906,6,28/07/2024 02:43:19 PM,274,4,3,9302.0,7240.0,5792.0,0.0,2325.5,2625.4697992295905,7240.0,0.0,2413.333333333333,4180.015948932891,6.0372262773722626E7,25547.445255474453,45.66666666666667,39.09305138597737,114.0,1.0,210.0,70.0,61.506097258727124,141.0,33.0,215.0,107.5,150.61374439273462,214.0,1.0,0,1,0,0,128,96,14598.540145985402,10948.905109489051,0.0,7240.0,2972.75,3304.722497535048,1.0921190785714285E7,0,0,0,1,1,0,0,0,0.0,3397.4285714285716,2325.5,2413.3333333333335,0,0,0,0,0,0,4,9302,3,7240,-1,470,3,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-42940-80-6,192.168.12.146,80,192.168.12.140,42940,6,28/07/2024 02:43:19 PM,374,4,4,10407.0,7240.0,5792.0,614.0,2601.75,2342.056699427521,7240.0,0.0,1809.9999999999998,3620.0,4.718449197860963E7,21390.374331550804,53.42857142857142,60.66535843696725,178.0,0.0,305.0,101.66666666666667,94.20368004135153,210.0,39.0,304.0,101.33333333333334,174.64917215186946,303.0,0.0,0,1,0,0,128,128,10695.187165775402,10695.187165775402,0.0,7240.0,2765.222222222222,3153.3556641210716,9943651.944444444,0,0,0,1,1,0,0,0,1.0,3110.875,2601.75,1810.0,0,0,0,0,0,0,4,10407,4,7240,-1,436,4,0,0,0,0,0,0,0,0,0,No Label
