Source IP,Source Port,Destination IP,Destination Port,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Predicted_Label
192.168.12.140,53058,192.168.12.146,80,04/08/2024 11:53:48 AM,2965,2,5,387.0,634.0,387.0,0.0,193.5,273.6503243191939,634.0,0.0,126.8,283.53341954697333,344350.7588532884,2360.8768971332206,494.1666666666667,834.4131870162806,2181.0,34.0,236.0,236.0,0.0,236.0,236.0,2965.0,741.25,991.704383036262,2181.0,81.0,0,0,0,0,64,176,674.5362563237774,1686.3406408094434,0.0,634.0,127.625,245.36266889181468,60202.83928571428,0,1,0,0,0,0,0,0,2.0,145.85714285714286,193.5,126.8,0,0,0,0,0,0,2,387,5,634,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53066,192.168.12.146,80,04/08/2024 11:53:48 AM,3354,2,5,340.0,634.0,340.0,0.0,170.0,240.41630560342617,634.0,0.0,126.8,283.53341954697333,290399.52295766247,2087.06022659511,559.0,1050.0900913731164,2691.0,35.0,333.0,333.0,0.0,333.0,333.0,3354.0,838.4999999999999,1258.6459655783538,2691.0,35.0,0,0,0,0,64,176,596.3029218843172,1490.757304710793,0.0,634.0,121.75,238.7382009051517,56995.92857142857,0,1,0,0,0,0,0,0,2.0,139.14285714285714,170.0,126.8,0,0,0,0,0,0,2,340,5,634,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53058,192.168.12.146,80,04/08/2024 11:53:48 AM,8421,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.5014843842774,8421.0,0.0,8421.0,8421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,118.7507421921387,118.7507421921387,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53066,192.168.12.146,80,04/08/2024 11:53:48 AM,8785,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.66078542970976,8785.0,0.0,8785.0,8785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,113.83039271485488,113.83039271485488,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53070,192.168.12.146,80,04/08/2024 11:53:48 AM,13891,2,5,294.0,634.0,294.0,0.0,147.0,207.88939366884497,634.0,0.0,126.8,283.53341954697333,66805.84551148226,503.9234036426463,2315.166666666667,4569.341765141525,11528.0,70.0,11528.0,11528.0,0.0,11528.0,11528.0,13891.0,3472.75,5624.123479855921,11812.0,70.0,0,0,0,0,64,176,143.97811532647037,359.94528831617595,0.0,634.0,116.0,233.2209253047419,54392.0,0,1,0,0,0,0,0,0,2.0,132.57142857142858,147.0,126.8,0,0,0,0,0,0,2,294,5,634,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53070,192.168.12.146,80,04/08/2024 11:53:48 AM,556,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3597.1223021582737,556.0,0.0,556.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,1798.5611510791368,1798.5611510791368,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53100,192.168.12.146,80,04/08/2024 11:53:48 AM,4199,2,5,323.0,634.0,323.0,0.0,161.5,228.39549032325485,634.0,0.0,126.8,283.53341954697333,227911.40747797096,1667.063586568231,699.8333333333334,1391.9800884591227,3537.0,46.0,221.0,221.0,0.0,221.0,221.0,4199.0,1049.75,1669.2538003551167,3537.0,74.0,0,0,0,0,64,176,476.3038818766373,1190.7597046915932,0.0,634.0,119.625,236.58398538966483,55971.98214285714,0,1,0,0,0,0,0,0,2.0,136.71428571428572,161.5,126.8,0,0,0,0,0,0,2,323,5,634,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53100,192.168.12.146,80,04/08/2024 11:53:48 AM,508,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3937.007874015748,508.0,0.0,508.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,1968.503937007874,1968.503937007874,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53094,192.168.12.146,80,04/08/2024 11:53:48 AM,7129,5,7,350.0,17647.0,350.0,0.0,70.0,156.5247584249853,7240.0,0.0,2521.0,3323.183162772304,2524477.4863234675,1683.2655351381682,648.0909090909092,1810.466097696693,6098.0,0.0,6794.0,1698.5,3007.553878708299,6205.0,0.0,7129.0,1188.1666666666667,2413.710621981572,6098.0,43.0,0,0,0,0,160,240,701.3606396409034,981.9048954972648,0.0,7240.0,1384.3846153846157,2676.395198099536,7163091.256410256,0,1,0,0,0,0,0,0,1.0,1499.75,70.0,2521.0,0,0,0,0,0,0,5,350,7,17647,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53084,192.168.12.146,80,04/08/2024 11:53:48 AM,11032,4,8,387.0,17647.0,387.0,0.0,96.75,193.5,7240.0,0.0,2205.875,2854.1354676779347,1634699.0572878898,1087.7447425670775,1002.909090909091,2632.922651903981,8806.0,1.0,10692.0,3564.0,4754.714292152579,8976.0,58.0,11032.0,1576.0,3265.9258513730324,8806.0,31.0,0,0,0,0,128,272,362.58158085569255,725.1631617113851,0.0,7240.0,1387.2307692307693,2433.826724654207,5923512.525641025,0,1,0,0,0,0,0,0,2.0,1502.8333333333333,96.75,2205.875,0,0,0,0,0,0,4,387,8,17647,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53112,192.168.12.146,80,04/08/2024 11:53:48 AM,9420,2,5,387.0,634.0,387.0,0.0,193.5,273.6503243191939,634.0,0.0,126.8,283.53341954697333,108386.4118895966,743.099787685775,1570.0,3347.278655863596,8387.0,56.0,643.0,643.0,0.0,643.0,643.0,9420.0,2355.0,4041.24832199161,8387.0,57.0,0,0,0,0,64,176,212.31422505307856,530.7855626326964,0.0,634.0,127.625,245.36266889181468,60202.83928571428,0,1,0,0,0,0,0,0,2.0,145.85714285714286,193.5,126.8,0,0,0,0,0,0,2,387,5,634,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53124,192.168.12.146,80,04/08/2024 11:53:48 AM,9986,2,5,343.0,634.0,343.0,0.0,171.5,242.5376259469858,634.0,0.0,126.8,283.53341954697333,97836.97176046464,700.9813739234929,1664.3333333333337,3787.4040537902297,9393.0,21.0,274.0,274.0,0.0,274.0,274.0,9986.0,2496.5,4602.901802124395,9393.0,21.0,0,0,0,0,64,176,200.2803925495694,500.7009813739234,0.0,634.0,122.125,239.132024204204,57184.12500000001,0,1,0,0,0,0,0,0,2.0,139.57142857142858,171.5,126.8,0,0,0,0,0,0,2,343,5,634,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53118,192.168.12.146,80,04/08/2024 11:53:48 AM,11679,3,6,298.0,17647.0,298.0,0.0,99.33333333333334,172.05038021850848,7240.0,0.0,2941.1666666666665,3548.5862208303,1536518.5375460228,770.6139224248651,1459.8750000000002,3046.766034315261,8678.0,15.0,11401.0,5700.5,7959.901035816965,11329.0,72.0,11679.0,2335.8,3704.870267634212,8678.0,32.0,0,0,0,0,96,208,256.871307474955,513.74261494991,0.0,7240.0,1794.5,3032.2633735654736,9194621.166666666,0,1,0,0,0,0,0,0,2.0,1993.888888888889,99.33333333333331,2941.1666666666665,0,0,0,0,0,0,3,298,6,17647,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53140,192.168.12.146,80,04/08/2024 11:53:48 AM,10057,4,8,335.0,17647.0,335.0,0.0,83.75,167.5,7240.0,0.0,2205.875,2854.1354676779347,1788008.3523913692,1193.198767027941,914.2727272727273,2779.5986433623502,9291.0,0.0,9719.0,3239.666666666667,5568.022120406252,9669.0,0.0,10057.0,1436.7142857142858,3465.428579280669,9291.0,33.0,0,0,0,0,128,272,397.7329223426469,795.4658446852939,0.0,7240.0,1383.2307692307693,2435.6496448191583,5932389.192307692,0,1,0,0,0,0,0,0,2.0,1498.5,83.75,2205.875,0,0,0,0,0,0,4,335,8,17647,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53150,192.168.12.146,80,04/08/2024 11:53:48 AM,11059,2,5,330.0,634.0,330.0,0.0,165.0,233.3452377915607,634.0,0.0,126.8,283.53341954697333,87168.82177412063,632.9686228411249,1843.1666666666667,4279.3865642947785,10577.0,18.0,219.0,219.0,0.0,219.0,219.0,11059.0,2764.75,5210.690573234991,10577.0,28.0,0,0,0,0,64,176,180.8481779546071,452.1204448865178,0.0,634.0,120.5,237.4549581349211,56384.85714285714,0,1,0,0,0,0,0,0,2.0,137.71428571428572,165.0,126.8,0,0,0,0,0,0,2,330,5,634,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53160,192.168.12.146,80,04/08/2024 11:53:48 AM,11019,2,5,336.0,634.0,336.0,0.0,168.0,237.58787847867995,634.0,0.0,126.8,283.53341954697333,88029.76676649424,635.2663581087213,1836.5,4165.955004557779,10335.0,19.0,414.0,414.0,0.0,414.0,414.0,11019.0,2754.75,5059.811351885233,10335.0,37.0,0,0,0,0,64,176,181.50467374534892,453.7616843633724,0.0,634.0,121.25,238.2194366545266,56748.5,0,1,0,0,0,0,0,0,2.0,138.57142857142858,168.0,126.8,0,0,0,0,0,0,2,336,5,634,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53174,192.168.12.146,80,04/08/2024 11:53:48 AM,10558,2,5,340.0,634.0,340.0,0.0,170.0,240.41630560342617,634.0,0.0,126.8,283.53341954697333,92252.3205152491,663.0043568857739,1759.6666666666667,4155.086168380467,10241.0,30.0,100.0,100.0,0.0,100.0,100.0,10558.0,2639.5,5068.327304611124,10241.0,33.0,0,0,0,0,64,176,189.42981625307823,473.5745406326956,0.0,634.0,121.75,238.7382009051517,56995.92857142857,0,1,0,0,0,0,0,0,2.0,139.14285714285714,170.0,126.8,0,0,0,0,0,0,2,340,5,634,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53112,192.168.12.146,80,04/08/2024 11:53:48 AM,4387,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.8924093913836,4387.0,0.0,4387.0,4387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,227.9462046956918,227.9462046956918,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53186,192.168.12.146,80,04/08/2024 11:53:48 AM,12032,2,5,346.0,634.0,346.0,0.0,173.0,244.65894629054543,634.0,0.0,126.8,283.53341954697333,81449.46808510639,581.781914893617,2005.3333333333333,4688.376122568097,11574.0,26.0,249.0,249.0,0.0,249.0,249.0,12032.0,3008.0,5712.595965641774,11574.0,26.0,0,0,0,0,64,176,166.22340425531917,415.5585106382979,0.0,634.0,122.5,239.52989673226892,57374.57142857143,0,1,0,0,0,0,0,0,2.0,140.0,173.0,126.8,0,0,0,0,0,0,2,346,5,634,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
